frame,timestamp,left_vel,right_vel,img_path,rel_x,rel_y,rel_theta,action_id
0,1748087393.476651,0.0,0.0,frame_0000.jpg,,,,
1,1748087393.8766308,0.04352519541915979,0.05539570326074882,frame_0001.jpg,,,,
2,1748087394.276618,0.06410074234458078,0.03086332038813149,frame_0002.jpg,,,,
3,1748087394.6765954,0.002374101568317807,0.0,frame_0003.jpg,,,,
4,1748087395.0766246,0.013453242220467572,0.002374101568317807,frame_0004.jpg,,,,
5,1748087395.476588,0.015827343788785378,0.0,frame_0005.jpg,,,,
6,1748087395.8766005,0.020575546925420993,0.15431660194065744,frame_0006.jpg,,,,
7,1748087396.2766492,0.09258996116439447,0.049064765745234676,frame_0007.jpg,,,,
8,1748087396.6765933,0.04352519541915979,0.03482015633532783,frame_0008.jpg,,,,
9,1748087397.0816715,0.01661871097822465,0.02215828130429953,frame_0009.jpg,,,,
10,1748087397.4765449,0.09971226586934788,0.015827343788785378,frame_0010.jpg,,,,
11,1748087397.8766246,0.02769785163037441,0.007913671894392689,frame_0011.jpg,,,,
12,1748087398.2766623,0.08546765645944104,0.007913671894392689,frame_0012.jpg,,,,
13,1748087398.6765883,0.012661875031028303,0.026115117251495873,frame_0013.jpg,,,,
14,1748087399.08078,0.011870507841589033,0.025323750062056605,frame_0014.jpg,,,,
15,1748087399.4765995,0.018201445357103184,0.060935273586823706,frame_0015.jpg,,,,
16,1748087399.876569,0.0664748439128986,0.073597148617852,frame_0016.jpg,,,,
17,1748087400.276589,0.13848925815187207,0.04273382822972052,frame_0017.jpg,,,,
18,1748087400.676605,0.035611523524767104,0.135323789394115,frame_0018.jpg,,,,
19,1748087401.0766156,0.13611515658355425,0.03402878914588856,frame_0019.jpg,,,,
20,1748087401.4765956,0.015827343788785378,0.060935273586823706,frame_0020.jpg,,,,
21,1748087401.87661,0.011079140652149764,0.026906484440935144,frame_0021.jpg,,,,
22,1748087402.276629,0.005539570326074882,0.05143886731355248,frame_0022.jpg,,,,
23,1748087402.676574,0.0,0.0,frame_0023.jpg,,,,
24,1748087403.076729,0.10208636743766569,0.0,frame_0024.jpg,,,,
25,1748087403.4766343,0.08467628927000177,0.09338132835383373,frame_0025.jpg,,,,
26,1748087403.876633,0.006330937515514151,0.03086332038813149,frame_0026.jpg,,,,
27,1748087404.276706,0.02215828130429953,0.13690652377299353,frame_0027.jpg,,,,
28,1748087404.676613,0.0039568359471963445,0.014244609409906841,frame_0028.jpg,,,,
29,1748087405.076696,0.05064750012411321,0.11079140652149765,frame_0029.jpg,,,,
30,1748087405.476625,0.10050363305878715,0.0,frame_0030.jpg,,,,
31,1748087405.8766317,0.07992808613336616,0.0,frame_0031.jpg,,,,
